,overall,reviewerID,asin,reviewText,summary,vote,newReviewTime
0,3,A2NPZW0MXZVKPZ,B000FC2S2Q,"The movie version of this book is one of my favorites, and I have seen it at least a dozen or more times without dissapointment. However, I found the book rather boring and lackluster when comparing the two. It seemed to begin somewhere in the middle of an undefined plot (plot??) and worked it's way to the end, which I must admit was surprising. Usually the book is better than the movie, but in this case the reverse is true. If you've seen the movie, don't expect to find any similarity between the two. I really found the book to be a little confusing and boring. The only thing I recognized was the giant robot (named Gnut instead of Gort). I was disappointed.",Not near as good as the movie,2,6/26/2016
1,5,A2JSR55IWC7HWO,B000HC48T0,"I enjoy reading this newspaper! It is real, fact checked news!",Five Stars,7,5/4/2017
2,4,AR4N9QJ67IG2I,B000JMKQKS,"This was very easy to read because it's written at about the 6th grade level and is very repetitive, so you'll get the same info over and over again. That's helpful for those who are forgetful, but annoying to those who remember. It could have been half its length if carefully edited. Its extensive list of sources belies the simplicity of the prose, however, so while it is simple and easy to understand, apparently it is backed up with research. I wish that research were integrated into the book to enhance its credibility and to show where studies were being cited. If you're completely new to the world of glycemic load, this is a good start. If you are better informed, skip this book.

The last 1/8 of it is a string of recipes.",Easy to read,2,11/24/2016
3,2,A1P00M7SDR84JY,B000JMKQKS,"When I found how much I gained form the Jason Fung information I decided that I should do some studying on other diet related theories that I had no knowledge of.  And as usual I went by the customer feedback on the amazon pages to quickly find the most valuable books to read on things like the paleo diet and the glycemic index stuff.
When I put in the search terms 'glyceimc index'  for Amazon books I was a bit dismayed to have a page come up with a dozen or so paperbacks that had names and covers appearing to all be in a series done identically. When I clicked on titles, and went right to the customer reviews, it seemed that all the customers had the same feeling about the books, as if they were nearly identical.  A few people thought what they got was all they would ever need to know, and these must have been people who did not have much information about the subject.
Others like me, who left reviews, had information on the subject and wanted something more in depth. These comments were that the lists with glycemic loads of various food were all about packaged foods that they had stopped eating long ago, as I had, and not whole foods. I also noticed that the lists of foods all seemed to be identical from some government source.
Comments by people who felt a book lacked certain things led me along to other titles they said were better. So in time I did get to a book that had a bit more than the other did, 'Glycemic Load Diet' by Robb Thompson.
Any book would give the basics, and the number of pages was also almost identical.  And the cover comments of how wonderful the book was, seemed to all be by authors of almost identical books. And each book seemed to have the last third be recipes.  Excuse me, but I have spices and ingredients thee authors never even heard of and cook healthy and very tasty meals  people are crazy for and I don't need a list of a dozen ingredients to measure and out in separate containers to mix in a special sequence. I grab stuff from where and there and put it all in one bowl, and if they had given me more glycemic numbers for real food it would have been a bit nicer for the diet thing, but otherwise still great.
And I have news for all these authors ALMOST NO ONE BUT ME AND A FEW OF THE CUSTOMER REVIEWERS ACTUALLY COOKS WITH REAL FOOD ANYMORE.  Do they really think the fast food junkies in enough dietary trouble to buy their books is going to get all that stuff and measure it and make those time consuming dishes?  I don't think so.
And some of the numbers I question because, for example I gave up 99% of wheat in my diet years ago. And years ago I found that pastas made from things that were not grains, were not exactly like wheat pastas, but were pretty good. And I also noticed that they did not make my blood sugar reading so drastic as anything wheat would do. I realized that the pasta from beans and roots and  pumpkin were what the glycemic index was all about. Only the lists showed they had the name number as wheat pasta. So it sort of missed what we were hoping to learn from the lists.
I did get a number of important points out if the book. Fotr example, all the years of carb counting I read books that hinted alcohol did not have carbs as such, but anyone with sense would avoid it if all possible.  I believed that authors were just raining on the parade instead of saying 'GOOD NEWS, GET AS DRUNK AS YOU LIKE ON THIS DIET!!' the glycemic index I assume is the same in every book showed the same  < 'less than' sign it did for the meat and other protein foods as having no carbs to speak of . the text dais that alchhol could make you want to eat more, but that was all.  So let me give you the good news, you can get as drunk as you like on the diet!!  Now I don't drink often so when I do a very small amount works real good.  And given some very disturbing things happening at the time (what the I Ching calls 'misfortune from without', not something I caused to happen) and I was finding one a day of those little bud-a rama fake 8% margueritas for over a week  and binge watching historical costume Korean soap operas was making my life a lot less stressful.
I did get a few things out of this book, but it does not rise far above the rest of the assembly line to serve a new audience. If there is an author out there who has some real in depth information and insight on glycemic index stuff, I, and at least several dozen others reviewing similar books did not find that person.
While the glycemic diet is just another Atkin's  spin off, there are some things we did not know before that  that make it a bit easier to stay on, such as eating a bit of sweet at the end of the meal.  This I had already found helped to get my blood sugar to go down more after a meal.  I wish there had been more detail about that.  And since I did skip some parts perhaps there is.
Right now I am an annoyed person and it is not easy to clear my mind to read books and put other thoughts aside. But then I think most people who are looking for a book of this kind are the same way.  And those of us who had to go total zero carbs for a couple weeks on Atkin's to get purple in the dig stick, may not do so well with the sweet at the end thing.
Back wen we read Atkin's, we got some real info and most of us lost a lot of weight that stayed off for pretty long.  It remains to be seen whether there is any startling results to be happy about from dealing with the glycemic index.",not as much helpful information as i had hoped for,8,10/6/2016
4,5,A3RZKVJ1L7XO6G,B000JMKQKS,Great book.  Very informative.  Would recommend it.,Great book.  Very informative and understandable.,2,5/11/2016
5,5,A2X4AEWNWCA1NX,B000VDUWMC,"Two decades ago a UCLA geography professor named Jared Diamond published Guns, Germs, and Steel: The Fates of Human Societies. Diamond hypothesized that the arc of human history was dramatically shifted by geographic, environmental, biological, and other factors, resulting in the worldwide dominance of the leading industrial powers during the past 500 years. The book won a 1997 Pulitzer Prize and quickly became a New York Times bestseller.

Why is economic development so uneven around the world?

Diamond posed questions fundamental to the experience of the human race. Why did wealth and power [among nations] become distributed as they now are, rather than in some other way? [W]hy did human development proceed at such different rates on different continents? [W]hy were Europeans, rather than Africans or Native Americans, the ones to end up with guns, the nastiest germs, and steel? In his award-winning book, Diamond posited a unified synthesisa unified field theory of history. Drawing from his wide-ranging knowledge of medicine, evolutionary biology, physiology, linguistics, and anthropology as well as geography, he surveyed the history of the past 13,000 years and identified plausible answers to the questions he had posed. In the process, he wrote what I consider to be the single most illuminating book on the history of the human race.

Academic critics howled

However, academic critics howled shortly after the publication of Guns, Germs, and Steel:

  They referred to supposed errors in geography and history, which I find largely pointless. For example, geographers complained that Diamond referred to Eurasia as a single continent rather than separately to Asia, North Africa, and Europe. Thats nitpicking, as far as Im concerned. And many of these errors could simply be differences of opinion. Academics are unbearably dogmatic and dismissive of those who reject their pet theories.

  Some accused him of racism, although he rejected racist explanations early, forcefully, and often. That criticism is not only unsupported by Diamonds book, its insulting to the reader.

  The most common and far-reaching complaint was that Diamond had succumbed to the heresy of environmental determinism. Understandably, Diamond grounded his argument in geographic and environmental factorsbut he repeatedly cited numerous other influences as well. Ultimately, of course, everything we humans do, and everything weve done in the millions of years since our ancestors first climbed out of the trees, has been environmentally determined.

  There were complaints that Diamond had overlooked the contrast between temperate and tropical zones (he didnt) and that he had only explained what happened 500 years ago but not subsequently (untrue). It might appear that at least some of Diamonds critics never read the book.

  However, the most aggravating criticism was that he had ignored the motives that led the industrial nations to undertake colonialism and imperialism on a broad scale. Diamond addressed only the means that enabled the colonial powers to dominate, not the reasons why they chose to do so. To my mind, thats no error. He didn't pretend to explain colonialism and imperialism, merely to describe how it had become possible.

Is it possible that most of these academic critics were simply bitter that Diamond hadnt cited their own specialized research?

The roots of academic criticism

Though the critics undoubtedly uncovered a misplaced fact or unwarranted conclusion here and there through the book, the errors were exceedingly minor in the context of Diamonds expansive hypothesis. It should be clear to any dispassionate reader that the academic reaction stemmed, above all, from narrow-mindedness and jealousy. The world of academia today is atomized. Specialties, sub-specialties, and sub-sub-specialties abound. Its not unusual for a scholar to build a career on the study of a single obscure question that, when answered, will be of interest to virtually nobody. Interdisciplinary studies are frowned upon in most academic circles. Generalists are regarded as not serious. And scholars who write popular books, must less bestsellers, can expect a chilly reception from their peers.

A wealth of meaning behind the title

To understand where the academic critics went wrong, its useful to look at what Diamond signified by his title, Guns, Germs, and Steel. Early in his book, he dwells on the confrontation between the Spanish conquistador Francisco Pizarro and the Inca god-king Atahuallpa. The immediate reasons for Pizarros success included military technology based on guns, steel weapons [such as swords and daggers], and horses; infectious diseases endemic in Eurasia; European maritime technology; the centralized political organization of European states; and writing. The title of this book will serve as shorthand for those proximate factors.

Diamonds argument in a nutshell

In a Prologue, Diamond poses the question at the heart of this book. He quotes a friend in what is now Papua New Guinea from a conversation in 1972, when he was studying bird evolution there: Why is it that you white people developed so much cargo [goods] and brought it to New Guinea, but we black people had little cargo of our own?' To answer the question, Diamond begins his story around the year 11,000 BCE, when the last Ice Age was drawing to a close and human beings were beginning to form villages in a few places around the world. Its unclear whether the formation of villages preceded the deliberate cultivation and production of food, or vice versa. However, regardless of the sequence, that shift from hunter-gatherer society to agriculturally based settlements set in motion the course of events that have led to the civilization in which we live.

Diamond argues, convincingly, that the much greater availability of domesticable plants and large animals in Eurasia than in sub-Saharan Africa and the Americas. Furthermore, he explains that the east-west orientation of Eurasia from the Bering Strait to the Atlantic Ocean made it possible for the development of agriculture and animal husbandry to spread quickly to distant lands. By contrast, the north-south orientation of the Americas and sub-Saharan Africaand the presence of barriers such as the Sahara Desert, the Panamanian Isthmus, and the deserts of northern Mexico and southwestern United Statesimpeded the spread of these (and, later, other) new technologies to the extremities of those continents. The advent of food production enabled the development of ever-larger settlements. This, in turn, spelled the emergence of labor specialization and eventually the growth of empires as well as the appearance and spread of communicable diseases contracted from domesticated animals. Those differences in historical development eventually led to the guns, germs, and steel that made Eurasian dominance possibleand dictated the huge differences in economic development between what today we call East and West.

Guns, Germs, and Steel is crammed with facts and densely written. It doesnt make for light reading. But if you have any interest in understanding how the world came to be as it is, youll find this book highly rewarding.",The only persuasive explanation for the wealth gap between the West and the rest,177,1/24/2017
6,5,A3SC0J7CHHHHKH,B000VMBYL6,I have lost 22 pounds in 6 weeks by using the recipes in this book and following the guidelines.  Awesome!  I have recommended to everyone I know who is trying to lose some weight.  It works!,Awesome! I have recommended to everyone I know who ...,12,10/16/2016
7,1,A1P00M7SDR84JY,B000VMBYL6,"Having just reviewed diet books that turned out to be little more than fluff,  I got very angry when I expected this book to deliver some real information that would be of value to helping me reverse diabetes, after making a good start on doing it after finding the Jason Fung YouTube videos and book.
The trouble begins on page 5 when we are shown the first of a set of graphs. All the graphs have two lines, one representing glucose and the other insulin. Figure 1.1 sys each unit represents 10 ulU/ml insulin or 75mg/dl glucose. Graph 2.2 the same is 10 ulU/ml insulin or 20mg/dl glucose.  Graph 2.2 is 10 ulU/ml insulin or 25mg/dl glucose. Graph 2.3 is 10 ulU/ml insulin or 100 mg/dl glucose. There is so little information on the graphs that they are essentially meaningless, even if the same scale had been the same on all of them.
Now on page 16 you are told that you can figure your body mass index on the chart 2.4.  but the chart has only height and weight boxes. Nowhere in the book are you told what to do with the height and weight figures tocompute your body mass.
The back cover says 'charts to determine your insulin resistance and check progress'  implying you will find this information in the book.  But all you get is a statement on page 27 directing you to go to a web site to do an online  'insulin resistance test'.
Having found the easy and dramatically effective information from Jason Fung that got my blood glucose reading down over 100 points in 3 days doing his;mini fasts' of no eating between meals for as little time as 5 or 6 hours, I was surprised to find on page 46 of this book the advise:
'Do eat frequent small meals, at 2-5 hour intervalsgoing long periods of time without eating only encourages more fat storage'
the book has pages with day 1,2 ND 3, Ec with about 10 blank lines to chart progress. You are directed to page 39 for information how to do this. Page 39 shows a representation of a scale with one or two circles on one side and one or two squares on the other, representing 'linking and balancing'  protein and carbs.  If you eat two each, then you have one rectangle of 'foods such as vegetables'  if you have one each you have two rectangles.
While there is a lot of test about eating fats,  the traditional last third of the book giving recipes stresses ingredients such as fat free margarine, cheese, and whipped topping '  and using 'sugar free gelatin (full of wholesome sugar substitute we were warned about earlier, and artificial color and flavor)  while we are told people who eat more dairy have less insulin resistance, but are these people eating dairy altered to remove fat ?
The book claims things such as that eating fat makes you crave more food, that you can not do anything to lose weight around your weight, and that  eating wheat is just fine, and wheat s the same as any other carbs.
I will stop here and address these last few 'facts'. This book suggests a diet very similar to what I ate all my life and got fat on, and could never lose weight until I found Atkin's.  eating more NATURAL  fats, and especially in meat, what we call fat but is actually connective tissue such as the thick skin on pork shoulder,  is what kept me from being hungry most of my life-and I almost never get hungry. It also contributed greatly to my regrowing cartlidge in a 'bone to bone' knee I was as told I could not return to normal by a doctor wanting to put in an artificial knee.
As for waist size, my personal research taught me that taking 2-4 grams of potassium citrate  twice a day ( intended to remove lead or other heavy metals from your system in 6 weeks, you will lose not weight but trim 2 sizes off your waist size in a week.  I gave a lot of friends I  knew at UFO conference the stuff  andevery one who took it  had their pants falling off by the end of the week.
As for exercise, I  also worked construction as a pipefitter for a few years and while eating a diet of protein and natural rbs similar to their 'pared' amounts touted in this book and I never lost an ounce.  In fact I never lost any weight in my life except on the Atkin's diet by first cutting back to zero carbs for a couple weeks, and adding very few back if I wanted to keep it off.
And at a time when most researchers are finding wheat is a big contributor to many of the difficult to solve health problems too many people are plagued with, it is a mystery to figure out  how these authors continue to think that eating wheat is just fine.
Anyone with health difficulties needs to cut out wheat FIRST  to find out if it is a problem for them because if it is, nothing else you do will ever work.
I believe this book tells the kind of advise that keeps people from ever getting better. I can not trust their claims that they got so many people better with what they claim works, and if I have to go on line to take tests, why buy the book?
If anyone is concerned with insulin resistance  go to YouTube and watch Jason Fung videos and get his book for results that make a difference  as dramatic as I only ever got from Atkin's before.
Most people who READ to learn about health problems will be smart enough by now to know to be very suspicious about the confusing advice given as fact in this book.","Misleading, Confusing and Inaccurate Information-",5,10/6/2016
8,5,A3UWONQTMWG6MB,B000VMBYL6,"This book was very helpful in my journey to learning about PCOS and gluten free. Since utilizing the techniques, I've lost almost 30 pounds and am keeping the weight off. I'm glad this book was recommended to me by my doctor.",I'm glad this book was recommended to me by my doctor,15,7/28/2016
9,5,A2B6LRHFNO20WD,B000W4RFBQ,"Bees are just the motif, not what the story is about.  This is a beautifully written coming-of-age story set in the American South in 1964, after President Johnson signed the Civil Right Act.  So many other topics are dealt with, including abuse.  Feminine strength is portrayed sometimes in lovely, other times inspiring, and even in humorous ways.",Feminine strength,2,12/1/2017
