iter	RMSE
0	1.217177144
1	1.171947453
2	1.135629069
3	1.109744812
4	1.087981109
5	1.071692467
6	1.055384172
7	1.041912901
8	1.030311689
9	1.020662365
10	1.011853575
11	1.003155815
12	0.9950670936
13	0.987945177
14	0.9800470191
15	0.9738665701
16	0.9683597973
17	0.9630187068
18	0.9586179537
19	0.9539263576
20	0.9497036048
21	0.9460312869
22	0.9419371978
23	0.9379804462
24	0.9351076871
25	0.9314914691
26	0.9278189819
27	0.9251532052
28	0.9217177193
29	0.9189781556
30	0.9164883409
31	0.9134772433
32	0.9101638213
33	0.9075268966
34	0.9041185721
35	0.9016059041
36	0.8990179886
37	0.8964002853
38	0.8944226836
39	0.891677446
40	0.8897564372
41	0.8876883425
42	0.8853439535
43	0.883527459
44	0.8821937612
45	0.8799702149
46	0.8778482842
47	0.8758202359
48	0.8738608608
49	0.8719770275
50	0.8686868233
51	0.866195767
52	0.8645556241
53	0.8625605564
54	0.8610415214
55	0.860798839
56	0.8591424575
57	0.8582084762
58	0.8581255289
59	0.8567650803
60	0.8565319523
61	0.8545803774
62	0.8529353332
63	0.8511428338
64	0.8496080314
65	0.8475884532
66	0.8460163656
67	0.8445332943
68	0.842396758
69	0.8408909327
70	0.838877107
71	0.8388057356
72	0.8373289971
73	0.8372695012
74	0.8357732711
75	0.8343586199
76	0.8327043091
77	0.8326707572
78	0.8312833441
79	0.8296518064
80	0.8274239278
81	0.8258639907
82	0.8240214718
83	0.8227965359
84	0.8211548381
85	0.819248115
86	0.8180166941
87	0.8166659872
88	0.8151095298
89	0.8150742477
90	0.8148905626
91	0.8137840864
92	0.8120620595
93	0.8109038801
94	0.8106240391
95	0.8105781905
96	0.8091732676
97	0.8085032959
98	0.8078210801
99	0.8077891037
100	0.8068697331
101	0.8049081168
102	0.8029970569
103	0.8018041965
104	0.7999708444
105	0.7990637597
106	0.7989349339
107	0.797997938
108	0.7967298964
109	0.796692114
110	0.7966603886
111	0.7950714041
112	0.7950170196
113	0.7949247296
114	0.7937520086
115	0.7924434137
116	0.7923947619
117	0.7923667019
118	0.7914300099
119	0.790930527
120	0.789718254
121	0.7882929007
122	0.7882662668
123	0.7882397855
124	0.7882148984
125	0.7881914276
126	0.7881655388
127	0.7881408268
128	0.7873453826
129	0.7873221114
130	0.7859654834
131	0.7859429057
132	0.7859215212
133	0.7853926583
134	0.7846962158
135	0.7845737642
136	0.7845529818
137	0.7833351889
138	0.7833162651
139	0.7822014097
140	0.7810658462
141	0.779689849
142	0.77823107
143	0.7771155912
144	0.7760538944
145	0.7747611212
146	0.7743595034
147	0.7736249178
148	0.7729015641
149	0.7728834258
150	0.7725875859
151	0.772556904
152	0.7725179586
153	0.7725006234
154	0.7711863141
155	0.7711293923
156	0.7710019211
157	0.7700338465
158	0.7700097453
159	0.769032461
160	0.7675779222
161	0.7667688999
162	0.7659245242
163	0.7647934455
164	0.7647646597
165	0.7638063519
166	0.7629610267
167	0.7624094494
168	0.7617164084
169	0.7616893069
170	0.7600495121
171	0.758952289
172	0.7579869193
173	0.7568020061
174	0.7559638526
175	0.7547318147
176	0.7528157265
177	0.7523272487
178	0.7521121582
179	0.7510348913
