iter	Passed	Remaining
0	40	7285
1	64	5728
2	87	5146
3	109	4799
4	130	4572
5	157	4554
6	182	4513
7	205	4422
8	229	4357
9	251	4268
10	273	4196
11	294	4128
12	320	4112
13	345	4094
14	372	4102
15	396	4066
16	419	4020
17	445	4012
18	468	3966
19	491	3933
20	517	3914
21	540	3879
22	564	3850
23	590	3835
24	614	3811
25	641	3798
26	670	3796
27	695	3775
28	725	3775
29	751	3758
30	776	3733
31	805	3725
32	836	3726
33	862	3702
34	894	3704
35	921	3684
36	947	3662
37	974	3643
38	997	3604
39	1030	3605
40	1053	3571
41	1083	3558
42	1113	3548
43	1142	3530
44	1168	3506
45	1198	3491
46	1233	3491
47	1270	3493
48	1298	3471
49	1329	3457
50	1366	3456
51	1397	3439
52	1426	3417
53	1455	3395
54	1483	3371
55	1507	3337
56	1534	3312
57	1558	3277
58	1580	3240
59	1603	3207
60	1626	3173
61	1657	3155
62	1686	3132
63	1717	3112
64	1742	3082
65	1770	3058
66	1801	3037
67	1830	3015
68	1861	2995
69	1892	2973
70	1927	2958
71	1951	2927
72	1978	2899
73	1998	2863
74	2031	2844
75	2063	2823
76	2092	2798
77	2112	2763
78	2139	2735
79	2166	2708
80	2198	2687
81	2229	2664
82	2260	2641
83	2287	2614
84	2315	2588
85	2348	2567
86	2373	2537
87	2398	2507
88	2427	2481
89	2447	2447
90	2468	2413
91	2495	2386
92	2526	2363
93	2550	2333
94	2574	2303
95	2594	2269
96	2626	2247
97	2648	2216
98	2672	2186
99	2692	2153
100	2718	2126
101	2749	2102
102	2784	2081
103	2812	2055
104	2840	2029
105	2869	2003
106	2893	1974
107	2921	1947
108	2951	1922
109	2972	1891
110	2997	1863
111	3028	1838
112	3051	1809
113	3076	1780
114	3103	1754
115	3136	1730
116	3158	1700
117	3179	1670
118	3210	1645
119	3234	1617
120	3261	1590
121	3289	1563
122	3311	1534
123	3330	1504
124	3351	1474
125	3371	1445
126	3391	1415
127	3412	1386
128	3437	1359
129	3457	1329
130	3485	1303
131	3505	1274
132	3525	1245
133	3548	1217
134	3575	1191
135	3595	1163
136	3615	1134
137	3641	1108
138	3662	1080
139	3687	1053
140	3714	1027
141	3743	1001
142	3771	975
143	3798	949
144	3828	924
145	3857	898
146	3880	871
147	3910	845
148	3935	818
149	3957	791
150	3980	764
151	4001	737
152	4023	710
153	4044	682
154	4071	656
155	4091	629
156	4114	602
157	4144	577
158	4164	550
159	4191	523
160	4225	498
161	4250	472
162	4276	446
163	4306	420
164	4328	393
165	4359	367
166	4390	341
167	4419	315
168	4450	289
169	4473	263
170	4504	237
171	4532	210
172	4561	184
173	4589	158
174	4617	131
175	4650	105
176	4682	79
177	4706	52
178	4726	26
179	4754	0
